Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	InSPI2_R1	InSPI2_R2	LSP_R1	LSP_R2
sense	NC_016810.1	Protein Homology	CDS	492840	493730	.	-	0	ID=cds-WP_000971352.1;Parent=gene-SL1344_RS02245;Dbxref=GenBank:WP_000971352.1;Name=WP_000971352.1;Ontology_term=GO:0048034,GO:0008495,GO:0016020;gbkey=CDS;gene=cyoE;go_component=membrane|0016020||IEA;go_function=protoheme IX farnesyltransferase activity|0008495||IEA;go_process=heme O biosynthetic process|0048034||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459435.1;locus_tag=SL1344_RS02245;product=heme o synthase;protein_id=WP_000971352.1;transl_table=11	10.94862354515446	11.768439320629755	2.450543587086953	0.28945811011496186
sense	NC_016810.1	RefSeq	gene	493742	494071	.	-	.	ID=gene-SL1344_RS02250;Name=SL1344_RS02250;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02250;old_locus_tag=SL1344_0434	14.78064178595852	15.669757561167291	3.4405631962700824	2.3446106919311913
sense	NC_016810.1	Protein Homology	CDS	493742	494071	.	-	0	ID=cds-WP_000019878.1;Parent=gene-SL1344_RS02250;Dbxref=GenBank:WP_000019878.1;Name=WP_000019878.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459436.1;locus_tag=SL1344_RS02250;product=cytochrome o ubiquinol oxidase subunit IV;protein_id=WP_000019878.1;transl_table=11	14.78064178595852	15.669757561167291	3.4405631962700824	2.3446106919311913
sense	NC_016810.1	RefSeq	gene	494071	494685	.	-	.	ID=gene-SL1344_RS02255;Name=SL1344_RS02255;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02255;old_locus_tag=SL1344_0435	8.601307861701729	7.707482377647326	1.7041438720737367	1.6774450478857301
sense	NC_016810.1	Protein Homology	CDS	494071	494685	.	-	0	ID=cds-WP_000179833.1;Parent=gene-SL1344_RS02255;Dbxref=GenBank:WP_000179833.1;Name=WP_000179833.1;Ontology_term=GO:0022904,GO:0004129;gbkey=CDS;go_function=cytochrome-c oxidase activity|0004129||IEA;go_process=respiratory electron transport chain|0022904||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459437.1;locus_tag=SL1344_RS02255;product=cytochrome o ubiquinol oxidase subunit III;protein_id=WP_000179833.1;transl_table=11	8.601307861701729	7.707482377647326	1.7041438720737367	1.6774450478857301
sense	NC_016810.1	RefSeq	gene	494675	496666	.	-	.	ID=gene-SL1344_RS02260;Name=cyoB;gbkey=Gene;gene=cyoB;gene_biotype=protein_coding;locus_tag=SL1344_RS02260;old_locus_tag=SL1344_0436	7.8975981373726265	6.7060583940236524	0.9645693854232622	0.5178858958080944
sense	NC_016810.1	Protein Homology	CDS	494675	496666	.	-	0	ID=cds-WP_000467158.1;Parent=gene-SL1344_RS02260;Dbxref=GenBank:WP_000467158.1;Name=WP_000467158.1;Ontology_term=GO:0004129;gbkey=CDS;gene=cyoB;go_function=cytochrome-c oxidase activity|0004129||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002444673.1;locus_tag=SL1344_RS02260;product=cytochrome o ubiquinol oxidase subunit I;protein_id=WP_000467158.1;transl_table=11	7.8975981373726265	6.7060583940236524	0.9645693854232622	0.5178858958080944
sense	NC_016810.1	RefSeq	gene	496677	497633	.	-	.	ID=gene-SL1344_RS02265;Name=cyoA;gbkey=Gene;gene=cyoA;gene_biotype=protein_coding;locus_tag=SL1344_RS02265;old_locus_tag=SL1344_0437	16.438887658982523	15.459626712645889	7.483453105945537	4.311927709298742
sense	NC_016810.1	Protein Homology	CDS	496677	497633	.	-	0	ID=cds-WP_001239449.1;Parent=gene-SL1344_RS02265;Dbxref=GenBank:WP_001239449.1;Name=WP_001239449.1;Ontology_term=GO:0022900,GO:0004129;gbkey=CDS;gene=cyoA;go_function=cytochrome-c oxidase activity|0004129||IEA;go_process=electron transport chain|0022900||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459439.1;locus_tag=SL1344_RS02265;product=cytochrome o ubiquinol oxidase subunit II;protein_id=WP_001239449.1;transl_table=11	16.438887658982523	15.459626712645889	7.483453105945537	4.311927709298742
sense	NC_016810.1	RefSeq	gene	498086	499561	.	-	.	ID=gene-SL1344_RS02270;Name=ampG;gbkey=Gene;gene=ampG;gene_biotype=protein_coding;locus_tag=SL1344_RS02270;old_locus_tag=SL1344_0438	0.6516142319471007	0.09731669668746623	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	498086	499561	.	-	0	ID=cds-WP_000098481.1;Parent=gene-SL1344_RS02270;Dbxref=GenBank:WP_000098481.1;Name=WP_000098481.1;Ontology_term=GO:0055085,GO:0022857,GO:0016020;gbkey=CDS;gene=ampG;go_component=membrane|0016020||IEA;go_function=transmembrane transporter activity|0022857||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459440.1;locus_tag=SL1344_RS02270;product=muropeptide MFS transporter AmpG;protein_id=WP_000098481.1;transl_table=11	0.6516142319471007	0.09731669668746623	0.0	0.0
sense	NC_016810.1	RefSeq	gene	499605	500183	.	-	.	ID=gene-SL1344_RS02275;Name=SL1344_RS02275;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02275;old_locus_tag=SL1344_0439	3.5595211190004465	2.232737476332127	0.9050505020080727	0.0
sense	NC_016810.1	Protein Homology	CDS	499605	500183	.	-	0	ID=cds-WP_001537832.1;Parent=gene-SL1344_RS02275;Dbxref=GenBank:WP_001537832.1;Name=WP_001537832.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:YP_005225436.1;locus_tag=SL1344_RS02275;product=lipoprotein;protein_id=WP_001537832.1;transl_table=11	3.5595211190004465	2.232737476332127	0.9050505020080727	0.0
sense	NC_016810.1	RefSeq	gene	500487	500804	.	+	.	ID=gene-SL1344_RS02280;Name=bolA;gbkey=Gene;gene=bolA;gene_biotype=protein_coding;locus_tag=SL1344_RS02280;old_locus_tag=SL1344_0440	6.336992315000373	7.829403673119924	23.07024958892275	34.60389784317733
sense	NC_016810.1	Protein Homology	CDS	500487	500804	.	+	0	ID=cds-WP_000973433.1;Parent=gene-SL1344_RS02280;Dbxref=GenBank:WP_000973433.1;Name=WP_000973433.1;gbkey=CDS;gene=bolA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459442.1;locus_tag=SL1344_RS02280;product=transcriptional regulator BolA;protein_id=WP_000973433.1;transl_table=11	6.336992315000373	7.829403673119924	23.07024958892275	34.60389784317733
sense	NC_016810.1	RefSeq	gene	501151	502449	.	+	.	ID=gene-SL1344_RS02285;Name=tig;gbkey=Gene;gene=tig;gene_biotype=protein_coding;locus_tag=SL1344_RS02285;old_locus_tag=SL1344_0441	15.090104311722513	16.80769479232211	0.1792915030921817	0.5294476286629325
sense	NC_016810.1	Protein Homology	CDS	501151	502449	.	+	0	ID=cds-WP_001198406.1;Parent=gene-SL1344_RS02285;Dbxref=GenBank:WP_001198406.1;Name=WP_001198406.1;Ontology_term=GO:0015031,GO:0051083,GO:0003755,GO:0051082,GO:0005854;gbkey=CDS;gene=tig;go_component=nascent polypeptide-associated complex|0005854||IEA;go_function=peptidyl-prolyl cis-trans isomerase activity|0003755||IEA,unfolded protein binding|0051082||IEA;go_process=protein transport|0015031||IEA,'de novo' cotranslational protein folding|0051083||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_001716227.1;locus_tag=SL1344_RS02285;product=trigger factor;protein_id=WP_001198406.1;transl_table=11	15.090104311722513	16.80769479232211	0.1792915030921817	0.5294476286629325
sense	NC_016810.1	RefSeq	gene	502696	503319	.	+	.	ID=gene-SL1344_RS02290;Name=clpP;gbkey=Gene;gene=clpP;gene_biotype=protein_coding;locus_tag=SL1344_RS02290;old_locus_tag=SL1344_0442	6.899234203088263	4.910750232844449	3.172511428513339	2.755418548209733
sense	NC_016810.1	Protein Homology	CDS	502696	503319	.	+	0	ID=cds-WP_000122257.1;Parent=gene-SL1344_RS02290;Dbxref=GenBank:WP_000122257.1;Name=WP_000122257.1;Ontology_term=GO:0006508,GO:0004176,GO:0004252,GO:0009368;gbkey=CDS;gene=clpP;go_component=endopeptidase Clp complex|0009368||IEA;go_function=ATP-dependent peptidase activity|0004176||IEA,serine-type endopeptidase activity|0004252||IEA;go_process=proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006809880.1;locus_tag=SL1344_RS02290;product=ATP-dependent Clp endopeptidase proteolytic subunit ClpP;protein_id=WP_000122257.1;transl_table=11	6.899234203088263	4.910750232844449	3.172511428513339	2.755418548209733
sense	NC_016810.1	RefSeq	gene	503571	504842	.	+	.	ID=gene-SL1344_RS02295;Name=clpX;gbkey=Gene;gene=clpX;gene_biotype=protein_coding;locus_tag=SL1344_RS02295;old_locus_tag=SL1344_0443	13.39409739306901	15.056545525230607	5.126722130871724	7.839945605094863
sense	NC_016810.1	Protein Homology	CDS	503571	504842	.	+	0	ID=cds-WP_000130314.1;Parent=gene-SL1344_RS02295;Dbxref=GenBank:WP_000130314.1;Name=WP_000130314.1;Ontology_term=GO:0005524,GO:0051082,GO:0140662,GO:0009368;gbkey=CDS;gene=clpX;go_component=endopeptidase Clp complex|0009368||IEA;go_function=ATP binding|0005524||IEA,unfolded protein binding|0051082||IEA,ATP-dependent protein folding chaperone|0140662||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_001396736.1;locus_tag=SL1344_RS02295;product=ATP-dependent protease ATP-binding subunit ClpX;protein_id=WP_000130314.1;transl_table=11	13.39409739306901	15.056545525230607	5.126722130871724	7.839945605094863
sense	NC_016810.1	RefSeq	gene	505028	507382	.	+	.	ID=gene-SL1344_RS02300;Name=lon;gbkey=Gene;gene=lon;gene_biotype=protein_coding;locus_tag=SL1344_RS02300;old_locus_tag=SL1344_0444	8.129109886885843	7.237882827262448	1.3350936067838828	0.7300981630925152
sense	NC_016810.1	Protein Homology	CDS	505028	507382	.	+	0	ID=cds-WP_001067723.1;Parent=gene-SL1344_RS02300;Dbxref=GenBank:WP_001067723.1;Name=WP_001067723.1;Ontology_term=GO:0006508,GO:0004176,GO:0004252,GO:0016887,GO:0043565;gbkey=CDS;gene=lon;go_function=ATP-dependent peptidase activity|0004176||IEA,serine-type endopeptidase activity|0004252||IEA,ATP hydrolysis activity|0016887||IEA,sequence-specific DNA binding|0043565||IEA;go_process=proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_001469947.1;locus_tag=SL1344_RS02300;product=endopeptidase La;protein_id=WP_001067723.1;transl_table=11	8.129109886885843	7.237882827262448	1.3350936067838828	0.7300981630925152
sense	NC_016810.1	RefSeq	gene	507573	507863	.	+	.	ID=gene-SL1344_RS02305;Name=hupB;gbkey=Gene;gene=hupB;gene_biotype=protein_coding;locus_tag=SL1344_RS02305;old_locus_tag=SL1344_0445	79.00750587296147	69.76302908102728	4.40188365581475	7.09023164570257
sense	NC_016810.1	Protein Homology	CDS	507573	507863	.	+	0	ID=cds-WP_254888479.1;Parent=gene-SL1344_RS02305;Dbxref=GenBank:WP_254888479.1;Name=WP_254888479.1;gbkey=CDS;gene=hupB;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013356995.1;locus_tag=SL1344_RS02305;product=nucleoid-associated protein HU-beta;protein_id=WP_254888479.1;transl_table=11	79.00750587296147	69.76302908102728	4.40188365581475	7.09023164570257
sense	NC_016810.1	RefSeq	gene	508154	510025	.	+	.	ID=gene-SL1344_RS02310;Name=ppiD;gbkey=Gene;gene=ppiD;gene_biotype=protein_coding;locus_tag=SL1344_RS02310;old_locus_tag=SL1344_0446	3.9144591223195753	3.8876772676685243	0.12441221288287607	0.0
sense	NC_016810.1	Protein Homology	CDS	508154	510025	.	+	0	ID=cds-WP_000969434.1;Parent=gene-SL1344_RS02310;Dbxref=GenBank:WP_000969434.1;Name=WP_000969434.1;Ontology_term=GO:0003755;gbkey=CDS;gene=ppiD;go_function=peptidyl-prolyl cis-trans isomerase activity|0003755||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459448.1;locus_tag=SL1344_RS02310;product=peptidylprolyl isomerase;protein_id=WP_000969434.1;transl_table=11	3.9144591223195753	3.8876772676685243	0.12441221288287607	0.0
sense	NC_016810.1	RefSeq	gene	510175	510549	.	+	.	ID=gene-SL1344_RS02315;Name=SL1344_RS02315;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02315;old_locus_tag=SL1344_0447	0.24426224923274173	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	510175	510549	.	+	0	ID=cds-WP_000680322.1;Parent=gene-SL1344_RS02315;Dbxref=GenBank:WP_000680322.1;Name=WP_000680322.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459449.1;locus_tag=SL1344_RS02315;product=helix-hairpin-helix domain-containing protein;protein_id=WP_000680322.1;transl_table=11	0.24426224923274173	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	510653	511051	.	+	.	ID=gene-SL1344_RS02320;Name=fadM;gbkey=Gene;gene=fadM;gene_biotype=protein_coding;locus_tag=SL1344_RS02320;old_locus_tag=SL1344_0448	0.9182791324539162	0.4799981430599838	0.875562641040391	0.0
sense	NC_016810.1	Protein Homology	CDS	510653	511051	.	+	0	ID=cds-WP_001194543.1;Parent=gene-SL1344_RS02320;Dbxref=GenBank:WP_001194543.1;Name=WP_001194543.1;gbkey=CDS;gene=fadM;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459450.1;locus_tag=SL1344_RS02320;product=long-chain acyl-CoA thioesterase FadM;protein_id=WP_001194543.1;transl_table=11	0.9182791324539162	0.4799981430599838	0.875562641040391	0.0
sense	NC_016810.1	RefSeq	gene	511157	511852	.	-	.	ID=gene-SL1344_RS02325;Name=queC;gbkey=Gene;gene=queC;gene_biotype=protein_coding;locus_tag=SL1344_RS02325;old_locus_tag=SL1344_0449	4.343024905539051	4.540327262694546	1.0038778556756207	0.7411125750357214
sense	NC_016810.1	Protein Homology	CDS	511157	511852	.	-	0	ID=cds-WP_000817201.1;Parent=gene-SL1344_RS02325;Dbxref=GenBank:WP_000817201.1;Name=WP_000817201.1;gbkey=CDS;gene=queC;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459451.1;locus_tag=SL1344_RS02325;product=7-cyano-7-deazaguanine synthase QueC;protein_id=WP_000817201.1;transl_table=11	4.343024905539051	4.540327262694546	1.0038778556756207	0.7411125750357214
sense	NC_016810.1	RefSeq	gene	511917	513617	.	-	.	ID=gene-SL1344_RS02330;Name=SL1344_RS02330;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02330;old_locus_tag=SL1344_0450	0.3230982132708224	0.0	0.5134472277705997	0.0
sense	NC_016810.1	Protein Homology	CDS	511917	513617	.	-	0	ID=cds-WP_001238163.1;Parent=gene-SL1344_RS02330;Dbxref=GenBank:WP_001238163.1;Name=WP_001238163.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459452.1;locus_tag=SL1344_RS02330;product=SgrR family transcriptional regulator;protein_id=WP_001238163.1;transl_table=11	0.3230982132708224	0.0	0.5134472277705997	0.0
sense	NC_016810.1	RefSeq	gene	513718	514536	.	+	.	ID=gene-SL1344_RS02335;Name=cof;gbkey=Gene;gene=cof;gene_biotype=protein_coding;locus_tag=SL1344_RS02335;old_locus_tag=SL1344_0451	0.3355250676273925	0.23384524918306904	1.5640392476704423	0.41987330258434025
sense	NC_016810.1	Protein Homology	CDS	513718	514536	.	+	0	ID=cds-WP_000113030.1;Parent=gene-SL1344_RS02335;Dbxref=GenBank:WP_000113030.1;Name=WP_000113030.1;Ontology_term=GO:0016818;gbkey=CDS;gene=cof;go_function=hydrolase activity%2C acting on acid anhydrides%2C in phosphorus-containing anhydrides|0016818||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459453.1;locus_tag=SL1344_RS02335;product=HMP-PP phosphatase;protein_id=WP_000113030.1;transl_table=11	0.3355250676273925	0.23384524918306904	1.5640392476704423	0.41987330258434025
sense	NC_016810.1	RefSeq	gene	514586	515641	.	-	.	ID=gene-SL1344_RS02340;Name=cdsH;gbkey=Gene;gene=cdsH;gene_biotype=protein_coding;locus_tag=SL1344_RS02340;old_locus_tag=SL1344_0452	0.7806676999625979	0.2720444021035988	0.3308233842567387	0.0
sense	NC_016810.1	Protein Homology	CDS	514586	515641	.	-	0	ID=cds-WP_000987846.1;Parent=gene-SL1344_RS02340;Dbxref=GenBank:WP_000987846.1;Name=WP_000987846.1;gbkey=CDS;gene=cdsH;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459454.1;locus_tag=SL1344_RS02340;product=cysteine desulfhydrase;protein_id=WP_000987846.1;transl_table=11	0.7806676999625979	0.2720444021035988	0.3308233842567387	0.0
sense	NC_016810.1	RefSeq	gene	515754	516212	.	+	.	ID=gene-SL1344_RS02345;Name=decR;gbkey=Gene;gene=decR;gene_biotype=protein_coding;locus_tag=SL1344_RS02345;old_locus_tag=SL1344_0453	0.5986819834135827	0.9179572330676554	24.101816927114	10.488599754753912
sense	NC_016810.1	Protein Homology	CDS	515754	516212	.	+	0	ID=cds-WP_000884594.1;Parent=gene-SL1344_RS02345;Dbxref=GenBank:WP_000884594.1;Name=WP_000884594.1;gbkey=CDS;gene=decR;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459455.1;locus_tag=SL1344_RS02345;product=DNA-binding transcriptional regulator DecR;protein_id=WP_000884594.1;transl_table=11	0.5986819834135827	0.9179572330676554	24.101816927114	10.488599754753912
sense	NC_016810.1	RefSeq	gene	516253	518025	.	+	.	ID=gene-SL1344_RS02350;Name=SL1344_RS02350;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02350;old_locus_tag=SL1344_0454	0.464966210468417	0.4536835240495888	0.5254363508555985	0.0
sense	NC_016810.1	Protein Homology	CDS	516253	518025	.	+	0	ID=cds-WP_001235572.1;Parent=gene-SL1344_RS02350;Dbxref=GenBank:WP_001235572.1;Name=WP_001235572.1;Ontology_term=GO:0055085,GO:0005524,GO:0140359,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=ATP binding|0005524||IEA,ABC-type transporter activity|0140359||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459456.1;locus_tag=SL1344_RS02350;product=SmdA family multidrug ABC transporter permease/ATP-binding protein;protein_id=WP_001235572.1;transl_table=11	0.464966210468417	0.4536835240495888	0.5254363508555985	0.0
sense	NC_016810.1	RefSeq	gene	518018	519799	.	+	.	ID=gene-SL1344_RS02355;Name=SL1344_RS02355;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02355;old_locus_tag=SL1344_0455	0.4112159077992285	0.21494866339049779	0.0	0.19297207340997458
sense	NC_016810.1	Protein Homology	CDS	518018	519799	.	+	0	ID=cds-WP_001256070.1;Parent=gene-SL1344_RS02355;Dbxref=GenBank:WP_001256070.1;Name=WP_001256070.1;Ontology_term=GO:0055085,GO:0005524,GO:0140359,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=ATP binding|0005524||IEA,ABC-type transporter activity|0140359||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459457.1;locus_tag=SL1344_RS02355;product=SmdB family multidrug efflux ABC transporter permease/ATP-binding protein;protein_id=WP_001256070.1;transl_table=11	0.4112159077992285	0.21494866339049779	0.0	0.19297207340997458
sense	NC_016810.1	RefSeq	gene	520012	520350	.	+	.	ID=gene-SL1344_RS02360;Name=glnK;gbkey=Gene;gene=glnK;gene_biotype=protein_coding;locus_tag=SL1344_RS02360;old_locus_tag=SL1344_0456	12.321193102890518	8.700284925800522	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	520012	520350	.	+	0	ID=cds-WP_000780341.1;Parent=gene-SL1344_RS02360;Dbxref=GenBank:WP_000780341.1;Name=WP_000780341.1;Ontology_term=GO:0006808,GO:0030234;gbkey=CDS;gene=glnK;go_function=enzyme regulator activity|0030234||IEA;go_process=regulation of nitrogen utilization|0006808||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459458.1;locus_tag=SL1344_RS02360;product=P-II family nitrogen regulator;protein_id=WP_000780341.1;transl_table=11	12.321193102890518	8.700284925800522	0.0	0.0
sense	NC_016810.1	RefSeq	gene	520382	521668	.	+	.	ID=gene-SL1344_RS02365;Name=amtB;gbkey=Gene;gene=amtB;gene_biotype=protein_coding;locus_tag=SL1344_RS02365;old_locus_tag=SL1344_0457	8.01396540314881	5.119085091207549	0.2714448281080933	0.0
sense	NC_016810.1	Protein Homology	CDS	520382	521668	.	+	0	ID=cds-WP_000684912.1;Parent=gene-SL1344_RS02365;Dbxref=GenBank:WP_000684912.1;Name=WP_000684912.1;Ontology_term=GO:0072488,GO:0008519,GO:0005886;gbkey=CDS;gene=amtB;go_component=plasma membrane|0005886||IEA;go_function=ammonium channel activity|0008519||IEA;go_process=ammonium transmembrane transport|0072488||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459459.1;locus_tag=SL1344_RS02365;product=ammonium transporter AmtB;protein_id=WP_000684912.1;transl_table=11	8.01396540314881	5.119085091207549	0.2714448281080933	0.0
sense	NC_016810.1	RefSeq	gene	521768	522628	.	-	.	ID=gene-SL1344_RS02370;Name=tesB;gbkey=Gene;gene=tesB;gene_biotype=protein_coding;locus_tag=SL1344_RS02370;old_locus_tag=SL1344_0458	1.1170529690521727	1.6682862289279925	1.6229941638797494	0.0
sense	NC_016810.1	Protein Homology	CDS	521768	522628	.	-	0	ID=cds-WP_000084180.1;Parent=gene-SL1344_RS02370;Dbxref=GenBank:WP_000084180.1;Name=WP_000084180.1;gbkey=CDS;gene=tesB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459460.1;locus_tag=SL1344_RS02370;product=acyl-CoA thioesterase II;protein_id=WP_000084180.1;transl_table=11	1.1170529690521727	1.6682862289279925	1.6229941638797494	0.0
sense	NC_016810.1	RefSeq	gene	522843	523412	.	+	.	ID=gene-SL1344_RS02375;Name=SL1344_RS02375;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02375;old_locus_tag=SL1344_0459	1.9283861781532243	2.6879896011359095	3.6773630923696414	3.61974984017447
sense	NC_016810.1	Protein Homology	CDS	522843	523412	.	+	0	ID=cds-WP_000779803.1;Parent=gene-SL1344_RS02375;Dbxref=GenBank:WP_000779803.1;Name=WP_000779803.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459461.1;locus_tag=SL1344_RS02375;product=YbaY family lipoprotein;protein_id=WP_000779803.1;transl_table=11	1.9283861781532243	2.6879896011359095	3.6773630923696414	3.61974984017447
sense	NC_016810.1	RefSeq	gene	523445	523834	.	-	.	ID=gene-SL1344_RS02380;Name=SL1344_RS02380;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02380;old_locus_tag=SL1344_0460	4.579917173113908	3.6830626746333377	5.822491562918601	0.0
sense	NC_016810.1	Protein Homology	CDS	523445	523834	.	-	0	ID=cds-WP_000961284.1;Parent=gene-SL1344_RS02380;Dbxref=GenBank:WP_000961284.1;Name=WP_000961284.1;Ontology_term=GO:0006281,GO:0003677,GO:0003824,GO:0003908;gbkey=CDS;go_function=DNA binding|0003677||IEA,catalytic activity|0003824||IEA,methylated-DNA-[protein]-cysteine S-methyltransferase activity|0003908||IEA;go_process=DNA repair|0006281||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459462.1;locus_tag=SL1344_RS02380;product=MGMT family protein;protein_id=WP_000961284.1;transl_table=11	4.579917173113908	3.6830626746333377	5.822491562918601	0.0
sense	NC_016810.1	RefSeq	gene	523919	524015	.	+	.	ID=gene-SL1344_RS24775;Name=ffs;gbkey=Gene;gene=ffs;gene_biotype=SRP_RNA;locus_tag=SL1344_RS24775	665.0323029207153	140.6778062836754	2639.029294471302	233.97764430818484
sense	NC_016810.1	cmsearch	SRP_RNA	523919	524015	.	+	.	ID=rna-SL1344_RS24775;Parent=gene-SL1344_RS24775;Dbxref=RFAM:RF00169;gbkey=ncRNA;gene=ffs;inference=COORDINATES: profile:INFERNAL:1.1.5;locus_tag=SL1344_RS24775;product=signal recognition particle sRNA small type	665.0323029207153	140.6778062836754	2639.029294471302	233.97764430818484
sense	NC_016810.1	cmsearch	exon	523919	524015	.	+	.	ID=exon-SL1344_RS24775-1;Parent=rna-SL1344_RS24775;Dbxref=RFAM:RF00169;gbkey=ncRNA;gene=ffs;inference=COORDINATES: profile:INFERNAL:1.1.5;locus_tag=SL1344_RS24775;product=signal recognition particle sRNA small type	665.0323029207153	140.6778062836754	2639.029294471302	233.97764430818484
sense	NC_016810.1	RefSeq	gene	524065	525615	.	-	.	ID=gene-SL1344_RS02385;Name=SL1344_RS02385;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02385;old_locus_tag=SL1344_0461	0.8858640566951466	0.9261086029058683	0.9009658124438841	0.0
sense	NC_016810.1	Protein Homology	CDS	524065	525615	.	-	0	ID=cds-WP_000213137.1;Parent=gene-SL1344_RS02385;Dbxref=GenBank:WP_000213137.1;Name=WP_000213137.1;Ontology_term=GO:0007165,GO:0071111,GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;go_function=cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA;go_process=signal transduction|0007165||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459463.1;locus_tag=SL1344_RS02385;product=EAL domain-containing protein;protein_id=WP_000213137.1;transl_table=11	0.8858640566951466	0.9261086029058683	0.9009658124438841	0.0
sense	NC_016810.1	RefSeq	gene	525840	526100	.	+	.	ID=gene-SL1344_RS02390;Name=SL1344_RS02390;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS02390;old_locus_tag=SL1344_0462	0.7019030150366141	0.0	12.938870139819103	6.587667333650856
sense	NC_016810.1	Protein Homology	CDS	525840	526100	.	+	0	ID=cds-WP_000801415.1;Parent=gene-SL1344_RS02390;Dbxref=GenBank:WP_000801415.1;Name=WP_000801415.1;Ontology_term=GO:0006412,GO:0003735,GO:0005840;gbkey=CDS;go_component=ribosome|0005840||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459464.1;locus_tag=SL1344_RS02390;product=type B 50S ribosomal protein L31;protein_id=WP_000801415.1;transl_table=11	0.7019030150366141	0.0	12.938870139819103	6.587667333650856
sense	NC_016810.1	RefSeq	gene	526106	526246	.	+	.	ID=gene-SL1344_RS02395;Name=ykgO;gbkey=Gene;gene=ykgO;gene_biotype=protein_coding;locus_tag=SL1344_RS02395;old_locus_tag=SL1344_0463	1.9489009247293223	2.716585235190547	24.77655984220681	9.755354179193608
sense	NC_016810.1	Protein Homology	CDS	526106	526246	.	+	0	ID=cds-WP_001197749.1;Parent=gene-SL1344_RS02395;Dbxref=GenBank:WP_001197749.1;Name=WP_001197749.1;Ontology_term=GO:0006412,GO:0003735,GO:0005840;gbkey=CDS;gene=ykgO;go_component=ribosome|0005840||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459465.1;locus_tag=SL1344_RS02395;product=type B 50S ribosomal protein L36;protein_id=WP_001197749.1;transl_table=11	1.9489009247293223	2.716585235190547	24.77655984220681	9.755354179193608
